fips_code,jurisdiction_name,state_abbr,state_full,region,b1a,b1b,b1c,b5a,b5b,b5c,b11a,b11b,b24a,b24b,b24c,uocava_return_rate,uocava_rejection_rate
1331100000,WHITE COUNTY,GA,Georgia,South,43,16,27,43,16,27,29,13,4,2,2,67.44,13.79
1331300000,WHITFIELD COUNTY,GA,Georgia,South,106,38,68,106,38,68,72,24,1,1,0,67.92,1.39
1331500000,WILCOX COUNTY,GA,Georgia,South,5,5,0,5,5,0,4,4,0,0,0,80,0
1331700000,WILKES COUNTY,GA,Georgia,South,9,5,4,9,5,4,9,5,1,1,0,100,11.11
1331900000,WILKINSON COUNTY,GA,Georgia,South,7,3,4,7,3,4,5,3,3,2,1,71.43,60
1332100000,WORTH COUNTY,GA,Georgia,South,15,7,8,15,7,8,11,6,1,1,0,73.33,9.09
6600000000,GUAM,GU,Guam,Other,139,40,99,107,34,73,50,18,1,0,1,46.73,2
1500100000,HAWAII COUNTY,HI,Hawaii,West,582,22,560,568,19,549,441,13,1,0,1,77.64,0.23
1500300000,HONOLULU COUNTY,HI,Hawaii,West,3080,344,2736,3080,344,2736,2107,194,10,1,9,68.41,0.47
1500700000,KAUAI COUNTY,HI,Hawaii,West,211,12,199,202,11,191,148,7,0,0,0,73.27,0
1500900000,MAUI COUNTY,HI,Hawaii,West,473,12,461,468,12,456,319,8,0,0,0,68.16,0
1600100000,ADA COUNTY,ID,Idaho,West,2083,865,1142,1637,609,1028,1185,452,16,3,13,72.39,1.35
1600300000,ADAMS COUNTY,ID,Idaho,West,10,5,5,7,3,4,6,2,0,0,0,85.71,0
1600500000,BANNOCK COUNTY,ID,Idaho,West,186,87,94,143,64,79,110,49,4,0,4,76.92,3.64
1600700000,BEAR LAKE COUNTY,ID,Idaho,West,8,5,3,4,3,1,2,2,0,0,0,50,0
1600900000,BENEWAH COUNTY,ID,Idaho,West,26,11,15,18,5,13,16,5,0,0,0,88.89,0
1601100000,BINGHAM COUNTY,ID,Idaho,West,77,48,27,54,33,21,41,25,0,0,0,75.93,0
1601300000,BLAINE COUNTY,ID,Idaho,West,152,20,129,145,14,131,92,10,8,0,8,63.45,8.7
1601500000,BOISE COUNTY,ID,Idaho,West,26,15,11,19,12,7,17,10,0,0,0,89.47,0
1601700000,BONNER COUNTY,ID,Idaho,West,197,70,123,173,62,111,130,50,1,1,0,75.14,0.77
1601900000,BONNEVILLE COUNTY,ID,Idaho,West,280,149,118,206,115,91,147,88,0,0,0,71.36,0
1602100000,BOUNDARY COUNTY,ID,Idaho,West,61,26,32,46,18,28,39,15,0,0,0,84.78,0
1602300000,BUTTE COUNTY,ID,Idaho,West,4,0,4,2,0,2,2,0,0,0,0,100,0
1602500000,CAMAS COUNTY,ID,Idaho,West,4,2,2,4,2,2,1,1,0,0,0,25,0
1602700000,CANYON COUNTY,ID,Idaho,West,602,306,268,374,190,184,251,147,2,1,1,67.11,0.8
1602900000,CARIBOU COUNTY,ID,Idaho,West,12,9,3,7,6,1,7,6,0,0,0,100,0
1603100000,CASSIA COUNTY,ID,Idaho,West,52,31,20,37,17,20,26,14,0,0,0,70.27,0
1603500000,CLEARWATER COUNTY,ID,Idaho,West,17,8,7,11,8,3,11,8,0,0,0,100,0
1603700000,CUSTER COUNTY,ID,Idaho,West,16,6,10,16,4,12,12,4,0,0,0,75,0
1603900000,ELMORE COUNTY,ID,Idaho,West,137,100,17,101,83,18,76,65,0,0,0,75.25,0
1604100000,FRANKLIN COUNTY,ID,Idaho,West,33,17,16,22,11,11,16,9,0,0,0,72.73,0
1604300000,FREMONT COUNTY,ID,Idaho,West,35,13,22,30,8,22,24,8,0,0,0,80,0
1604500000,GEM COUNTY,ID,Idaho,West,46,31,12,30,23,7,24,18,0,0,0,80,0
1604700000,GOODING COUNTY,ID,Idaho,West,17,10,6,14,8,6,7,3,0,0,0,50,0
1604900000,IDAHO COUNTY,ID,Idaho,West,45,16,27,39,13,26,30,11,0,0,0,76.92,0
1605100000,JEFFERSON COUNTY,ID,Idaho,West,74,37,37,60,29,31,40,22,0,0,0,66.67,0
1605300000,JEROME COUNTY,ID,Idaho,West,33,21,11,21,14,7,19,14,1,0,1,90.48,5.26
1605500000,KOOTENAI COUNTY,ID,Idaho,West,563,259,280,364,149,215,277,112,0,0,0,76.1,0
1605700000,LATAH COUNTY,ID,Idaho,West,177,45,127,175,40,135,129,27,9,0,9,73.71,6.98
1605900000,LEMHI COUNTY,ID,Idaho,West,16,8,7,12,5,7,9,5,0,0,0,75,0
1606100000,LEWIS COUNTY,ID,Idaho,West,6,4,2,6,4,2,6,4,0,0,0,100,0
1606300000,LINCOLN COUNTY,ID,Idaho,West,14,8,6,8,4,4,5,4,0,0,0,62.5,0
1606500000,MADISON COUNTY,ID,Idaho,West,136,72,58,107,52,55,75,40,0,0,0,70.09,0
1606700000,MINIDOKA COUNTY,ID,Idaho,West,27,17,9,18,11,7,12,9,0,0,0,66.67,0
1606900000,NEZ PERCE COUNTY,ID,Idaho,West,75,41,34,49,28,21,42,23,0,0,0,85.71,0
1607100000,ONEIDA COUNTY,ID,Idaho,West,13,7,6,13,7,6,13,7,0,0,0,100,0
1607300000,OWYHEE COUNTY,ID,Idaho,West,24,11,9,13,8,5,11,8,0,0,0,84.62,0
1607500000,PAYETTE COUNTY,ID,Idaho,West,56,36,20,33,21,12,31,21,0,0,0,93.94,0
1607700000,POWER COUNTY,ID,Idaho,West,7,5,2,6,4,2,4,4,0,0,0,66.67,0
1607900000,SHOSHONE COUNTY,ID,Idaho,West,24,10,12,9,5,4,7,4,0,0,0,77.78,0
1608100000,TETON COUNTY,ID,Idaho,West,38,11,27,39,9,30,35,7,3,0,3,89.74,8.57
1608300000,TWIN FALLS COUNTY,ID,Idaho,West,179,87,88,118,49,69,93,38,2,0,2,78.81,2.15
1608500000,VALLEY COUNTY,ID,Idaho,West,63,24,36,45,14,31,33,10,0,0,0,73.33,0
1608700000,WASHINGTON COUNTY,ID,Idaho,West,17,7,10,16,7,9,14,5,0,0,0,87.5,0
1700100000,ADAMS COUNTY,IL,Illinois,Midwest,90,37,53,90,37,53,74,33,0,0,0,82.22,0
1700500000,BOND COUNTY,IL,Illinois,Midwest,26,9,17,26,9,17,21,8,0,0,0,80.77,0
1700700000,BOONE COUNTY,IL,Illinois,Midwest,44,15,29,43,15,28,33,10,0,0,0,76.74,0
1700900000,BROWN COUNTY,IL,Illinois,Midwest,3,3,0,3,3,0,3,3,0,0,0,100,0
1701100000,BUREAU COUNTY,IL,Illinois,Midwest,48,15,33,31,4,27,20,4,0,0,0,64.52,0
1701500000,CARROLL COUNTY,IL,Illinois,Midwest,28,9,19,28,9,19,23,7,0,0,0,82.14,0
1701700000,CASS COUNTY,IL,Illinois,Midwest,6,5,1,6,5,1,4,3,0,0,0,66.67,0
1701900000,CHAMPAIGN COUNTY,IL,Illinois,Midwest,709,56,653,709,56,653,709,56,8,1,7,100,1.13
1702100000,CHRISTIAN COUNTY,IL,Illinois,Midwest,30,18,12,32,20,12,29,17,0,0,0,90.62,0
1702300000,CLARK COUNTY,IL,Illinois,Midwest,16,13,3,16,13,3,15,12,0,0,0,93.75,0
1702500000,CLAY COUNTY,IL,Illinois,Midwest,7,6,1,7,6,1,4,4,0,0,0,57.14,0
1702700000,CLINTON COUNTY,IL,Illinois,Midwest,56,25,31,56,25,31,42,18,0,0,0,75,0
1702900000,COLES COUNTY,IL,Illinois,Midwest,48,17,31,48,17,31,30,10,0,0,0,62.5,0
1703100000,COOK COUNTY,IL,Illinois,Midwest,11950,1265,10685,5862,2501,3361,3631,393,52,7,45,61.94,1.43
1703300000,CRAWFORD COUNTY,IL,Illinois,Midwest,9,7,2,9,7,2,5,4,0,0,0,55.56,0
1703500000,CUMBERLAND COUNTY,IL,Illinois,Midwest,6,3,3,6,3,3,3,1,0,0,0,50,0
1703700000,DE KALB COUNTY,IL,Illinois,Midwest,169,27,142,169,27,142,123,20,3,0,3,72.78,2.44
1703900000,DE WITT COUNTY,IL,Illinois,Midwest,16,3,13,9,3,6,8,2,0,0,0,88.89,0
1704100000,DOUGLAS COUNTY,IL,Illinois,Midwest,21,8,13,21,9,12,18,8,0,0,0,85.71,0
1704300000,DU PAGE COUNTY,IL,Illinois,Midwest,2417,229,2188,2417,229,2188,1757,189,18,1,17,72.69,1.02
1704500000,EDGAR COUNTY,IL,Illinois,Midwest,19,16,3,19,16,3,16,13,0,0,0,84.21,0
1704700000,EDWARDS COUNTY,IL,Illinois,Midwest,7,4,3,7,4,3,6,3,0,0,0,85.71,0
1704900000,EFFINGHAM COUNTY,IL,Illinois,Midwest,47,29,18,45,27,18,39,23,1,0,1,86.67,2.56
1705100000,FAYETTE COUNTY,IL,Illinois,Midwest,12,11,1,12,11,1,12,11,0,0,0,100,0
1705700000,FULTON COUNTY,IL,Illinois,Midwest,24,11,13,23,11,12,20,9,0,0,0,86.96,0
1706100000,GREENE COUNTY,IL,Illinois,Midwest,15,5,10,15,5,10,15,5,0,0,0,100,0
1706300000,GRUNDY COUNTY,IL,Illinois,Midwest,39,19,20,39,19,20,28,15,0,0,0,71.79,0
1706500000,HAMILTON COUNTY,IL,Illinois,Midwest,4,3,1,4,3,1,3,2,0,0,0,75,0
1706613000,BLOOMINGTON CITY,IL,Illinois,Midwest,117,22,95,123,23,100,88,19,11,8,3,71.54,12.5
